Name,Grade,Scale,Universe,JAPCODE,Series,Release_date,Cost(yen)
MG Sword Impulse Gundam  ,Master Grade,1/100,Cosmic Era,4543112584946,Mobile Suit Gundam SEED Destiny,04/01/2009,¥4860
SD Military Unit Soldier  ,Super Deformed,No Scale,SD,4543112584953,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,04/01/2009,¥432
SD Sonken Gundam & Shuyu Hyaku Shiki  ,Super Deformed,No Scale,SD,4543112585196,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,03/01/2009,¥1728
SD Koumei Re-GZ Shuyu Hyaku Shiki Red Cliff Special Set  ,Super Deformed,No Scale,SD,4543112585202,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,03/01/2009,¥1296
SD Gigataifu Shibai Sazabi  ,Super Deformed,No Scale,SD,4543112585240,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,03/01/2009,¥1080
1/100 Gundam Astray Gold Frame  ,No Grade,1/100,Cosmic Era,4543112587510,Mobile Suit Gundam SEED Astray,05/01/2009,¥4320
HGUC Strum Dias  ,High Grade,1/144,Universal Century,4543112587558,Mobile Suit Gundam ZZ,05/01/2009,¥1836
MG MS-07B Gouf Ver.2.0  ,Master Grade,1/100,Universal Century,4543112587565,Mobile Suit Gundam,05/01/2009,¥4104
SD Joko Serpent  ,Super Deformed,No Scale,SD,4543112587572,BB Senshi Sangokuden: Senjin Kettou Hen,05/01/2009,¥648
SD Sonshoko Gerbera  ,Super Deformed,No Scale,SD,4543112587589,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,05/01/2009,¥648
HGUC Hi-v Gundam  ,High Grade,1/144,Universal Century,4543112587626,Mobile Suit Gundam: Char's Counterattack,06/01/2009,¥2376
MG G Armor Real Type Color  ,Master Grade,1/100,Universal Century,4543112587633,Mobile Suit Gundam,06/01/2009,¥10584
MG MS-06J Zaku II Ver.2.0 White Ogre  ,Master Grade,1/100,Universal Century,4543112590558,Mobile Suit Gundam MS Igloo,06/01/2009,¥3780
HGUC Ewac-Zack  ,High Grade,1/144,Universal Century,4543112594402,Mobile Suit Gundam ZZ,06/01/2009,¥1728
SD Sohi Gundam  ,Super Deformed,No Scale,SD,4543112594426,BB Senshi Sangokuden: Senjin Kettou Hen,06/01/2009,¥648
SD SD Sangokuden Hakugin Ryuseiba  ,Super Deformed,No Scale,SD,4543112594433,BB Senshi Sangokuden: Senjin Kettou Hen,05/01/2009,¥324
"SD Kibutei Soso Gundam, Joko Serpent, Sohi Gundam  ",Super Deformed,No Scale,SD,4543112594440,BB Senshi Sangokuden: Senjin Kettou Hen,06/01/2009,¥1944
SD Tensyoryu Komei v Gundam  ,Super Deformed,No Scale,SD,4543112594518,BB Senshi Sangokuden: Senjin Kettou Hen,07/01/2009,¥1296
MG GN-001 Gundam Exia  ,Master Grade,1/100,Anno Domini,4543112594525,Mobile Suit Gundam 00,07/01/2009,¥4104
HGUC Jegan  ,High Grade,1/144,Universal Century,4543112599353,Mobile Suit Gundam: Char's Counterattack,08/01/2009,¥1620
SD 0 Gundam (Practice Disposition Type)  ,Super Deformed,No Scale,Anno Domini,4543112599391,Mobile Suit Gundam 00,08/01/2009,¥648
SD Gundam Exia Repair II  ,Super Deformed,No Scale,Anno Domini,4543112599407,Mobile Suit Gundam 00,08/01/2009,¥864
"SD Asurao Mokaku Gundam, Syukuyu Gundam, Kyoshin Elephant Set  ",Super Deformed,No Scale,SD,4543112599421,BB Senshi Sangokuden: Senjin Kettou Hen,08/01/2009,¥2160
HGUC Full Armor 7th Gundam  ,High Grade,1/144,Universal Century,4543112599438,Mobile Suit Gundam Battlefield Record U.C.0081,09/04/2009,¥1620
HGUC Gundam Ground Type The Ground War Set  ,High Grade,1/144,Universal Century,4543112599452,Mobile Suit Gundam: The 08th MS Team,09/17/2009,¥2376
SD Taishiji Dom  ,Super Deformed,No Scale,SD,4543112599506,BB Senshi Sangokuden: Senjin Kettou Hen,09/28/2009,¥648
MG Gundam Exia Ignition Mode ,Master Grade,1/100,Anno Domini,4543112602268,Mobile Suit Gundam 00,07/01/2010,¥7020
SD RX-78-2 Gundam (Animation Color)  ,Super Deformed,No Scale,Universal Century,4543112602275,Mobile Suit Gundam,07/01/2009,¥864
SD Shingen Takeda Gundam  ,Super Deformed,No Scale,SD,4543112602299,SD Sengokuden: Bushin Kourin Hen,07/01/2009,¥648
SD Kenshin Uesugi Gundam  ,Super Deformed,No Scale,SD,4543112602305,SD Sengokuden: Bushin Kourin Hen,07/01/2009,¥648
SD Nanpo Kibatai  ,Super Deformed,No Scale,SD,4543112602381,BB Senshi Sangokuden: Senjin Kettou Hen,08/01/2009,¥540
Kanetsugu Naoe Gundam (SD)  ,Super Deformed,No Scale,SD,4543112602398,SD Sengokuden: Bushin Kourin Hen,08/01/2009,¥648
SD Yukimura Sanada Gundam  ,Super Deformed,No Scale,SD,4543112602411,SD Sengokuden: Bushin Kourin Hen,09/04/2009,¥648
MG RX-75 Guntank  ,Master Grade,No Scale,Universal Century,4543112602428,Mobile Suit Gundam,09/17/2009,¥5184
SD Masamune Date Gundam  ,Super Deformed,No Scale,SD,4543112602442,SD Sengokuden: Bushin Kourin Hen,11/19/2009,¥648
SD Oda Nobunaga Gundam  ,Super Deformed,No Scale,SD,4543112602459,SD Sengokuden: Bushin Kourin Hen,09/04/2009,¥1080
HCM Pro Unicorn Gundam ,HCM,1/200,Universal Century,4543112603852,Mobile Suit Gundam Unicorn,10/29/2009,¥10584
SD Ryuho Gundam  ,Super Deformed,No Scale,SD,4543112603944,BB Senshi Sangokuden Gaiden: Buyu Gekitou Roku,08/01/2009,¥648
SD Shutai Gundam  ,Super Deformed,No Scale,SD,4543112603951,BB Senshi Sangokuden Gaiden: Buyu Gekitou Roku,08/01/2009,¥648
1/100 Regen Duel Gundam  ,No Grade,1/100,Cosmic Era,4543112604026,Mobile Suit Gundam SEED VS Astray,09/28/2009,¥2700
1/100 Nix Providence Gundam  ,No Grade,1/100,Cosmic Era,4543112604033,Mobile Suit Gundam SEED VS Astray,09/28/2009,¥3024
SD Juniku Gundam  ,Super Deformed,No Scale,SD,4543112604040,BB Senshi Sangokuden: Senjin Kettou Hen,09/28/2009,¥648
SD Kyocho Gundam  ,Super Deformed,No Scale,SD,4543112604057,BB Senshi Sangokuden: Senjin Kettou Hen,09/28/2009,¥648
SD Ryofu Tallgeese Sekitoba Tengyokugai Clear Color Ver.  ,Super Deformed,No Scale,SD,4543112604064,BB Senshi Sangokuden: Fuuun Gouketsu Hen,09/10/2009,¥2160
SD Z Gundam & Nu Gundam (HWS Ver.)  ,Super Deformed,No Scale,Universal Century,4543112604071,Mobile Suit Zeta Gundam,09/17/2009,¥1620
SD Kyoui Gundam F91  ,Super Deformed,No Scale,SD,4543112605405,BB Senshi Sangokuden: Senjin Kettou Hen,10/29/2009,¥648
SD Teiho Gundam  ,Super Deformed,No Scale,SD,4543112605412,BB Senshi Sangokuden Gaiden: Buyu Gekitou Roku,10/29/2009,¥648
HGUC NZ-666 Kshatriya  ,High Grade,1/144,Universal Century,4543112605429,Mobile Suit Gundam UC,10/15/2009,¥4860
1/100 Gundam Astray Mirage Frame  ,No Grade,1/100,Cosmic Era,4543112605436,Mobile Suit Gundam SEED VS Astray,10/29/2009,¥2700
MG Gundam Astray Blue Frame Second Revise  ,Master Grade,1/100,Cosmic Era,4543112609984,Mobile Suit Gundam SEED VS Astray,10/22/2009,¥5184
1/100 Van Saviour Gundam  ,No Grade,1/100,Cosmic Era,4543112610034,Mobile Suit Gundam SEED VS Astray,11/26/2009,¥3024
SD Gokoshou Gundam Ryukiho Set  ,Super Deformed,No Scale,SD,4543112610065,BB Senshi Sangokuden: Senjin Kettou Hen,11/19/2009,¥3780
SD Sonsaku Physalis Gundam  ,Super Deformed,No Scale,SD,4543112610072,BB Senshi Sangokuden: Senjin Kettou Hen,11/26/2009,¥648
SD Bashoku Gundam  ,Super Deformed,No Scale,SD,4543112610089,BB Senshi Sangokuden Gaiden: Buyu Gekitou Roku,11/26/2009,¥648
SD Batai Gundam  ,Super Deformed,No Scale,SD,4543112610096,BB Senshi Sangokuden Gaiden: Buyu Gekitou Roku,11/26/2009,¥648
HGUC RX-0 Unicorn Gundam Destroy Mode  ,High Grade,1/144,Universal Century,4543112610119,Mobile Suit Gundam UC,11/19/2009,¥1944
HGUC RX-0 Unicorn Gundam Unicorn Mode  ,High Grade,1/144,Universal Century,4543112610126,Mobile Suit Gundam UC,11/19/2009,¥1620
PG 00 Raiser  ,Perfect Grade,1/60,Anno Domini,4543112610164,Mobile Suit Gundam 00,11/26/2009,¥27000
SD Gotaitei Sonken Gundam Korinpaku  ,Super Deformed,No Scale,SD,4543112611123,BB Senshi Sangokuden: Senjin Kettou Hen,12/17/2009,¥1296
SD Senjin Gasshin Shu Gundam  ,Super Deformed,No Scale,SD,4543112611130,BB Senshi Sangokuden: Senjin Kettou Hen,12/17/2009,¥4104
SD God Gundam & Wing Gundam Zero Custom  ,Super Deformed,No Scale,Future Century,4543112611284,Mobile Fighter G Gundam,11/26/2009,¥1620
MG Qubeley Mk-II (Elpeo Ple Custom)  ,Master Grade,1/100,Universal Century,4543112613981,Mobile Suit Gundam ZZ,11/12/2009,¥4320
SD Hideyoshi Toyotomi Gundam  ,Super Deformed,No Scale,SD,4543112614063,SD Sengokuden: Bushin Kourin Hen,12/24/2009,¥1080
1/100 Nebra Blitz Gundam  ,No Grade,1/100,Cosmic Era,4543112614087,Mobile Suit Gundam SEED VS Astray,12/24/2009,¥3024
SD Yue Jin Gundam  ,Super Deformed,No Scale,SD,4543112614094,BB Senshi Sangokuden: Senjin Kettou Hen,12/24/2009,¥648
MG V Gundam Ver. Ka ,Master Grade,1/100,Universal Century,4543112614100,Mobile Suit Victory Gundam,12/10/2009,¥4104
MG GNX-603T GN-X ,Master Grade,1/100,Anno Domini,4543112614179,Mobile Suit Gundam 00,01/28/2010,¥3888
1/100 Gundam Astray Mirage Frame Second Issue  ,No Grade,1/100,Cosmic Era,4543112614186,Mobile Suit Gundam SEED VS Astray,01/28/2010,¥2700
SD Genbuso Ryofu Tallgeese  ,Super Deformed,No Scale,SD,4543112614193,BB Senshi Sangokuden: Senjin Kettou Hen,01/25/2010,¥1080
SD Kakuka Virsago  ,Super Deformed,No Scale,SD,4543112614209,BB Senshi Sangokuden: Senjin Kettou Hen,01/25/2010,¥648
SD Gengan Gundam  ,Super Deformed,No Scale,SD,4543112614216,BB Senshi Sangokuden Gaiden: Buyu Gekitou Roku,01/14/2010,¥648
SD Ryoto Gundam  ,Super Deformed,No Scale,SD,4543112614223,BB Senshi Sangokuden Gaiden: Buyu Gekitou Roku,01/14/2010,¥648
SD Ieyasu Tokugawa Gundam  ,Super Deformed,No Scale,SD,4543112614230,SD Sengokuden: Bushin Kourin Hen,01/22/2010,¥1080
HGUC AMS-129 Geara Zulu  ,High Grade,1/144,Universal Century,4543112614247,Mobile Suit Gundam UC,12/24/2009,¥1944
SD Freedom Gundam & Gundam Exia  ,Super Deformed,No Scale,Cosmic Era,4543112614254,Mobile Suit Gundam SEED,01/14/2010,¥1620
MG RX-78-3 G-3 Gundam Ver.2.0  ,Master Grade,1/100,Universal Century,4543112615374,Mobile Suit Gundam,12/25/2009,¥4536
MG LM312V04 V Gundam Ver.Ka  ,Master Grade,1/100,Universal Century,4543112615398,Mobile Suit Victory Gundam,12/19/2009,¥4104
MG 1/100 MS-14S Char Aznable dedicated Gelgoog Ver.2.0 (Mobile Suit Gundam) ,Master Grade,1/100,Universal Century,4543112615404,Mobile Suit Gundam,12/04/2009,¥4860
MG Wing Gundam Zero Version EW  ,Master Grade,1/100,After Colony,4543112615411,New Mobile Report Gundam Wing,12/18/2009,¥4104
MG Double Zeta Gundam ,Master Grade,1/100,Universal Century,4543112615428,Mobile Suit Gundam ZZ,12/24/2009,¥4320
MG RX-93 Nu Gundam ,Master Grade,1/100,Universal Century,4543112615435,Mobile Suit Gundam Char's Counterattack,12/24/2009,¥5400
MG Hyaku Shiki Ver.2.0 ,Master Grade,1/100,Universal Century,4543112615442,Mobile Suit Zeta Gundam,12/24/2009,¥4860
MG RX-77-2 Gun Cannon ,Master Grade,1/100,Universal Century,4543112615459,Mobile Suit Gundam,12/04/2009,¥3240
MG Char's Z'Gok ,Master Grade,1/100,Universal Century,4543112615466,Mobile Suit Gundam,12/04/2009,¥3240
MG Freedom Gundam ,Master Grade,1/100,Cosmic Era,4543112615473,Mobile Suit Gundam SEED,12/18/2009,¥4104
MG Acguy ,Master Grade,1/100,Universal Century,4543112615480,Mobile Suit Gundam,12/04/2009,¥4320
MG RX-178 Gundam Mk-II Ver.2.0 A.E.U.G. Ver. ,Master Grade,1/100,Universal Century,4543112615497,Mobile Suit Zeta Gundam,12/24/2009,¥4320
MG MSZ-006 Z Gundam Ver. 2.0 ,Master Grade,1/100,Universal Century,4543112615503,Mobile Suit Gundam ZZ,12/24/2009,¥5400
MG Gundam F91 Harrison Martin Custom ,Master Grade,1/100,Universal Century,4543112615510,Mobile Suit Gundam F91,12/18/2009,¥3456
MG Strike Freedom Gundam ,Master Grade,1/100,Cosmic Era,4543112615527,Mobile Suit Gundam SEED,12/18/2009,¥5184
MG MS-06J Mass-production type Zaku Ver. 2.0  ,Master Grade,1/100,Universal Century,4543112615534,Mobile Suit Gundam,12/04/2009,¥3780
MG MS-06S Char's Zaku Ver. 2.0 ,Master Grade,1/100,Universal Century,4543112615541,Mobile Suit Gundam,12/04/2009,¥3780
MG Destiny Gundam ,Master Grade,1/100,Cosmic Era,4543112615558,Mobile Suit Gundam SEED Destiny,12/18/2009,¥5184
MG Force Impulse Gundam  ,Master Grade,1/100,Cosmic Era,4543112615565,Mobile Suit Gundam SEED Destiny,12/18/2009,¥4860
MG RX-78-2 Gundam Ver.2.0  ,Master Grade,1/100,Universal Century,4543112615572,Mobile Suit Gundam,12/04/2009,¥4536
MG Infinite Justice Gundam ,Master Grade,1/100,Cosmic Era,4543112615589,Mobile Suit Gundam SEED Destiny,12/18/2009,¥5400
MG RGM-79 GM Ver.2.0 ,Master Grade,1/100,Universal Century,4543112615596,Mobile Suit Gundam,12/24/2009,¥3780
MG MS-07B Gouf Ver.2.0 ,Master Grade,1/100,Universal Century,4543112615602,Mobile Suit Gundam,12/24/2009,¥4104
HGUC Nu Gundam Metallic Coating Ver.  ,High Grade,1/144,Universal Century,4543112615671,Mobile Suit Gundam: Char's Counterattack,01/28/2010,¥5400
HGUC Sazabi Metallic Coating Ver.  ,High Grade,1/144,Universal Century,4543112615688,Mobile Suit Gundam: Char's Counterattack,01/28/2010,¥5940
HGUC ReZEL  ,High Grade,1/144,Universal Century,4543112615695,Mobile Suit Gundam UC,01/22/2010,¥2160
MG GN-001 Gundam Exia Trans-AM Mode  ,Master Grade,1/100,Anno Domini,4543112615701,Mobile Suit Gundam 00,02/18/2010,¥6264
SD Tenshiho Shibai Sazabi  ,Super Deformed,No Scale,SD,4543112619303,BB Senshi Sangokuden: Senjin Kettou Hen,02/18/2010,¥648
HGUC Stark Jegan  ,High Grade,1/144,Universal Century,4543112619327,Mobile Suit Gundam UC,02/18/2010,¥2160
SD Ukin Gundam  ,Super Deformed,No Scale,SD,4543112619334,BB Senshi Sangokuden Gaiden: Buyu Gekitou Roku,02/18/2010,¥648
MG Gundam Astray Red Frame Kai ,Master Grade,1/100,Cosmic Era,4543112619341,Mobile Suit Gundam SEED,02/25/2010,¥5400
SD Unicorn Gundam  ,Super Deformed,No Scale,Universal Century,4543112619457,Mobile Suit Gundam UC,02/25/2010,¥1080
HGUC MS-06F-2 Zaku II Type F2 (Zeon Ver.)  ,High Grade,1/144,Universal Century,4543112620255,Mobile Suit Gundam 0083: Stardust Memory,02/25/2010,¥1620
1/48 Mega Size Model RX-78-2 Gundam  ,Mega Size,1/48,Universal Century,4543112620279,Mobile Suit Gundam,03/04/2010,¥8424
MG Sazabi Ver. Ka ,Master Grade,1/100,Universal Century,4543112620286,Mobile Suit Gundam Char's Counterattack,03/11/2010,¥8640
MG MS-18E Kampfer ,Master Grade,1/100,Universal Century,4543112620293,Gundam 0080: War in the Pocket,03/04/2010,¥4320
MG MS-07B-3 Gouf Custom  ,Master Grade,1/100,Universal Century,4543112620309,Mobile Suit Gundam,03/04/2010,¥3240
MG GF13-017NJ II God Gundam ,Master Grade,1/100,Future Century,4543112620330,Mobile Fighter G Gundam,02/18/2010,¥2700
MG GAT-X105 Aile Strike Gundam Ver.RM ,Master Grade,1/100,Cosmic Era,4543112620354,Mobile Suit Gundam SEED,03/11/2010,¥4104
MG RB-79 Ball Ver.Ka ,Master Grade,1/100,Universal Century,4543112620361,Mobile Suit Gundam,02/18/2010,¥2160
MG YMS-15 Gyan ,Master Grade,1/100,Universal Century,4543112620378,Mobile Suit Gundam,03/04/2010,¥3888
MG RX-93-2 Hi-v Gundam ,Master Grade,1/100,Universal Century,4543112620392,Mobile Suit Gundam Char's Counterattack,02/18/2010,¥7560
MG Gundam Exia ,Master Grade,1/100,Cosmic Era,4543112620408,Mobile Suit Gundam SEED,03/11/2010,¥4104
MG RX - 75 Guntank  ,Master Grade,1/100,Universal Century,4543112620415,Mobile Suit Gundam,03/11/2010,¥5184
MG MS-09 Dom ,Master Grade,1/100,Universal Century,4543112620422,Mobile Suit Gundam,03/04/2010,¥4320
MG RX-78-2 Gundam Ver. O.Y.W 0079 Animation Color ,Master Grade,1/100,Universal Century,4543112620439,Mobile Suit Gundam,02/18/2010,¥3456
MG GAT-X105E Strike Noir Gundam ,Master Grade,1/100,Cosmic Era,4543112620446,Mobile Suit Gundam SEED,02/18/2010,¥4860
MG RX-79(G) Gundam Ground Type ,Master Grade,1/100,Universal Century,4543112620453,Mobile Suit Gundam,03/11/2010,¥3240
MG Gundam Astray Red Frame Kai  ,Master Grade,1/100,Cosmic Era,4543112620477,Mobile Suit Gundam SEED VS Astray,02/20/2010,¥5400
HGUC MS-06F-2 Zaku II Type F2 (E.F.F. Ver.)  ,High Grade,1/144,Universal Century,4543112620484,Mobile Suit Gundam 0083: Stardust Memory,03/11/2010,¥1620
HGUC D-50C Loto Twin Set  ,High Grade,1/144,Universal Century,4543112620491,Mobile Suit Gundam UC,03/11/2010,¥1728
HGUC ReZEL (Commander)  ,High Grade,1/144,Universal Century,4543112620507,Mobile Suit Gundam UC,03/18/2010,¥2376
MG MSN-06S Sinanju Ver.Ka Titanium Finish  ,Master Grade,1/100,Universal Century,4543112620514,Mobile Suit Gundam UC,02/25/2010,¥12960
MG Unicorn Gundam HD Color +MS CAGE  ,Master Grade,1/100,Universal Century,4543112620521,Mobile Suit Gundam UC,03/11/2010,¥8100
MG RX-0 Unicorn Gundam  ,Master Grade,1/100,Universal Century,4543112620538,Mobile Suit Gundam UC,03/11/2010,¥5400
SD Shin Koshin Gyan  ,Super Deformed,No Scale,SD,4543112620590,BB Senshi Sengokuden: Brave Battle Warriors,02/25/2010,¥648
SD Shin Ryubi Gundam  ,Super Deformed,No Scale,SD,4543112620606,BB Senshi Sengokuden: Brave Battle Warriors,02/25/2010,¥648
SD Shin Chohi Gundam  ,Super Deformed,No Scale,SD,4543112620613,BB Senshi Sengokuden: Brave Battle Warriors,02/25/2010,¥648
SD Shin Kanu Gundam  ,Super Deformed,No Scale,SD,4543112620620,BB Senshi Sengokuden: Brave Battle Warriors,02/25/2010,¥648
SD Choho Gundam  ,Super Deformed,No Scale,SD,4543112620637,BB Senshi Sengokuden: Brave Battle Warriors,03/04/2010,¥648
MG XXXG-01W Wing Gundam  ,Master Grade,1/100,After Colony,4543112623522,New Mobile Report Gundam Wing,04/28/2010,¥4320
HGAW GX-9900 Gundam X  ,High Grade,1/144,After War,4543112623539,After War Gundam X,04/15/2010,¥1944
SD Gundam RX-78NT-1 & Gundam GP01Fb  ,Super Deformed,No Scale,Universal Century,4543112623546,Mobile Suit Gundam 0080: War in the Pocket,04/28/2010,¥1620
SD Shin Kosonsan Ez8  ,Super Deformed,No Scale,SD,4543112623553,BB Senshi Sengokuden: Brave Battle Warriors,04/28/2010,¥648
SD Shin Sonken Gundam  ,Super Deformed,No Scale,SD,4543112623560,BB Senshi Sengokuden: Brave Battle Warriors,04/15/2010,¥648
SD Shin Sangokuden Trinity Set  ,Super Deformed,No Scale,SD,4543112623577,BB Senshi Sengokuden: Brave Battle Warriors,04/22/2010,¥2160
SD Shin Military Unit Soldier  ,Super Deformed,No Scale,SD,4543112623584,BB Senshi Sengokuden: Brave Battle Warriors,04/15/2010,¥432
SD Shin Hakugin Ryuseiba  ,Super Deformed,No Scale,SD,4543112623591,BB Senshi Sengokuden: Brave Battle Warriors,04/15/2010,¥324
SD Shin Soso Gundam  ,Super Deformed,No Scale,SD,4543112623607,BB Senshi Sengokuden: Brave Battle Warriors,04/15/2010,¥648
SD Shin Totaku Zaku  ,Super Deformed,No Scale,SD,4543112623645,BB Senshi Sengokuden: Brave Battle Warriors,05/10/2010,¥1080
SD Shin Ryofu Tallgeese Sekitoba Tengyokugai Sinbu  ,Super Deformed,No Scale,SD,4543112623652,BB Senshi Sengokuden: Brave Battle Warriors,05/27/2010,¥2160
SD Shin kakoton Giros  ,Super Deformed,No Scale,SD,4543112623669,BB Senshi Sengokuden: Brave Battle Warriors,05/10/2010,¥648
SD Shin Kakoen Daras  ,Super Deformed,No Scale,SD,4543112623676,BB Senshi Sengokuden: Brave Battle Warriors,05/10/2010,¥648
SD Shin Chouryou Gelgoog  ,Super Deformed,No Scale,SD,4543112623683,BB Senshi Sengokuden: Brave Battle Warriors,10/23/2010,¥648
SD Shin Shibai Sazabi  ,Super Deformed,No Scale,SD,4543112623713,BB Senshi Sengokuden: Brave Battle Warriors,06/04/2010,¥648
SD Shin Sonshoko Gerbera  ,Super Deformed,No Scale,SD,4543112623720,BB Senshi Sengokuden: Brave Battle Warriors,06/04/2010,¥648
Shin Sonsaku Physalis Gundam ,Super Deformed,No Scale,SD,4543112623737,BB Senshi Sengokuden: Brave Battle Warriors,06/04/2010,¥648
MG FA-78-1 Full Armor Gundam  ,Master Grade,1/100,Universal Century,4543112623768,Mobile Suit Gundam,06/24/2010,¥5400
MG RX-78-2 Gundam Ver.2.0 Titanium Finish  ,Master Grade,1/100,Universal Century,4543112631091,Mobile Suit Gundam,03/25/2010,¥8640
PG RX-78-2 Gundam 30th Anniversary Limited Model Extra Finish Ver.  ,Perfect Grade,1/60,Universal Century,4543112631107,Mobile Suit Gundam,03/25/2010,¥23760
PG MS-06F Zaku II 30th Anniversary Model Extra Finish Ver.  ,Perfect Grade,1/60,Universal Century,4543112631114,Mobile Suit Gundam,03/25/2010,¥23760
PG Aile Strike Gundam + Skygrasper 30th Anniversary Color Clear Ver.  ,Perfect Grade,1/60,Cosmic Era,4543112631121,Mobile Suit Gundam SEED,03/25/2010,¥21600
HGFC God Gundam  ,High Grade,1/144,Future Century,4543112631183,Mobile Fighter G Gundam,05/19/2010,¥1944
MG Musha Gundam Mk-II  ,Master Grade,1/100,Dynasty Warriors: Gundam,4543112631190,Dynasty Warriors: Gundam,05/27/2010,¥6480
Cho Kido Daishogun -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112632692,SD Gundam Sengokuden,06/04/2010,¥2700
Tenrei Gundam -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112632708,SD Gundam Sengokuden,06/04/2010,¥1080
Buio Daishogun -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112632715,SD Gundam Sengokuden,06/04/2010,¥2160
Kishin Daishogun Shiryuo -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112632722,SD Gundam Sengokuden,06/04/2010,¥3240
Goken Gundam -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112632739,SD Gundam Sengokuden,06/04/2010,¥1080
HGUC MSZ-010 ZZ Gundam  ,High Grade,1/144,Universal Century,4543112632760,Mobile Suit Gundam ZZ,06/17/2010,¥2484
RG RX-78-2 Gundam  ,Real Grade,1/144,Universal Century,4543112632807,Mobile Suit Gundam,07/24/2010,¥2700
SD Shin Raiso Chohi Gundam  ,Super Deformed,No Scale,SD,4543112642479,SD Gundam Sangokuden Brave Battle Warriors,07/08/2010,¥648
SD Shin Ogaso Kanu Gundam  ,Super Deformed,No Scale,SD,4543112642486,SD Gundam Sangokuden Brave Battle Warriors,07/08/2010,¥648
HGUC AMS-129 Geara Zulu Angelo Sauper Custom  ,High Grade,1/144,Universal Century,4543112642509,Mobile Suit Gundam UC,07/29/2010,¥2376
SD Shin Ryuso Ryubi Gundam  ,Super Deformed,No Scale,SD,4543112642516,BB Senshi Sengokuden: Brave Battle Warriors,06/30/2010,¥648
Core Booster Ver.Ka  ,Master Grade,1/100,Universal Century,4543112642523,Mobile Suit Victory Gundam,07/22/2010,¥2376
SD Strike Gundam & Force Impulse Gundam  ,Super Deformed,No Scale,Cosmic Era,4543112642530,Mobile Suit Gundam SEED,07/15/2010,¥1620
SD Shin Gurenso Soso Gundam Zetsuei  ,Super Deformed,No Scale,SD,4543112642615,SD Gundam Sangokuden Brave Battle Warriors,08/07/2010,¥1728
SD Shin Mokoso Sonken Gundam  ,Super Deformed,No Scale,SD,4543112642622,SD Gundam Sangokuden Brave Battle Warriors,08/07/2010,¥648
SD Shin Enjyutsu Zssa  ,Super Deformed,No Scale,SD,4543112642639,SD Gundam Sangokuden Brave Battle Warriors,08/07/2010,¥648
SD Shin Taishiji Dom  ,Super Deformed,No Scale,SD,4543112642646,SD Gundam Sangokuden Brave Battle Warriors,08/28/2010,¥648
HGUC Delta Plus  ,High Grade,1/144,Universal Century,4543112642653,Mobile Suit Gundam UC,09/11/2010,¥2376
HGUC Gunpla Starter Set  ,High Grade,1/144,Universal Century,4543112642684,Mobile Suit Gundam,07/15/2010,¥2160
MG V-Dash Gundam Ver.Ka  ,Master Grade,1/100,Universal Century,4543112642707,Mobile Suit Victory Gundam,07/22/2010,¥6264
HGUC RGM-79C GM Type C  ,High Grade,1/144,Universal Century,4543112645630,Mobile Suit Gundam 0083: Stardust Memory,08/21/2010,¥1296
MG XXXG-01D Gundam Deathscythe EW Ver.  ,Master Grade,1/100,After Colony,4543112645647,New Mobile Report Gundam Wing: Endless Waltz,09/24/2010,¥4104
SD Shin Rikuson Z Plus  ,Super Deformed,No Scale,SD,4543112645661,SD Gundam Sangokuden Brave Battle Warriors,#N/A,¥0
SD Shin Shusou Doven Wolf  ,Super Deformed,No Scale,SD,4543112645678,SD Gundam Sangokuden Brave Battle Warriors,09/11/2010,¥648
SD Shin Mokoso Sonken Gundam Tengyokugai Doko  ,Super Deformed,No Scale,SD,4543112645685,SD Gundam Sangokuden Brave Battle Warriors,09/24/2010,¥1728
HGUC RB-79 Ball Twin Set  ,High Grade,1/144,Universal Century,4543112645692,Mobile Suit Gundam,09/11/2010,¥1404
SD Shin Goka Ryuso Ryubi Gundam  ,Super Deformed,No Scale,SD,4543112645791,SD Gundam Sangokuden Brave Battle Warriors,08/07/2010,¥4104
MG PMX-003 THE-O  ,Master Grade,1/100,Universal Century,4543112649218,Mobile Suit Zeta Gundam,08/07/2010,¥12960
HGUC MSN-06S Sinanju  ,High Grade,1/144,Universal Century,4543112652973,Mobile Suit Gundam UC,10/23/2010,¥2808
MG RGZ-95 ReZEL  ,Master Grade,1/100,Universal Century,4543112652980,Mobile Suit Gundam UC,10/23/2010,¥5184
SD Shin Enshou Bawoo  ,Super Deformed,No Scale,SD,4543112653017,SD Gundam Sangokuden Brave Battle Warriors,10/09/2010,¥648
SD Shin Shuuyu Hyaku Shiki  ,Super Deformed,No Scale,SD,4543112653031,SD Gundam Sangokuden Brave Battle Warriors,10/09/2010,¥648
